index,coordinates,year,masked_ag,masked_urb,window_ag,cdl_ag,landcover,category,observer,landcover_code,strata,geometry,eco_region,strata_def,glad_ag
5093,"[-100.6916661235509, 38.42089978602773]",1996,0,0,1,-999.0,ag,110,sean,1,1.0,POINT (-100.6916661235509 38.42089978602773),GREAT PLAINS,likely stable croplands,-999.0
8459,"[-92.19072892687105, 42.06473607300175]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-92.19072892687105 42.06473607300175),GREAT PLAINS,cropland gain,-999.0
8509,"[-94.69325564537121, 43.80863553406297]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-94.69325564537121 43.80863553406297),GREAT PLAINS,cropland gain,-999.0
5078,"[-94.35692640299686, 44.58855286373554]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-94.35692640299686 44.58855286373554),GREAT PLAINS,likely stable croplands,-999.0
18805,"[-96.09247153191578, 35.767186605210256]",1996,0,0,1,-999.0,na,510,sean,0,5.0,POINT (-96.09247153191578 35.767186605210256),GREAT PLAINS,possible errors,-999.0
8492,"[-98.27133525354768, 36.66460357404566]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-98.27133525354768 36.66460357404566),GREAT PLAINS,cropland gain,-999.0
5100,"[-101.70092334525918, 40.125183543059286]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-101.70092334525918 40.125183543059286),GREAT PLAINS,likely stable croplands,-999.0
5055,"[-98.63003254649661, 37.53399310601653]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-98.63003254649661 37.53399310601653),GREAT PLAINS,likely stable croplands,-999.0
11883,"[-97.88326305080805, 46.26723463516969]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-97.88326305080805 46.26723463516969),GREAT PLAINS,cropland loss,-999.0
11795,"[-97.98701846612386, 43.71458192381566]",1996,1,0,1,-999.0,na,310,sean,0,3.0,POINT (-97.98701846612386 43.71458192381566),GREAT PLAINS,cropland loss,-999.0
18867,"[-101.06680258619922, 40.55772235236284]",1996,0,0,1,-999.0,na,510,sean,0,5.0,POINT (-101.06680258619922 40.55772235236284),GREAT PLAINS,possible errors,-999.0
11948,"[-106.32598941707695, 50.18514691532857]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-106.32598941707695 50.18514691532857),GREAT PLAINS,cropland loss,-999.0
4991,"[-99.832517385819, 39.42315014851988]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-99.832517385819 39.42315014851988),GREAT PLAINS,likely stable croplands,-999.0
4854,"[-96.92817424073218, 44.76129889287173]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-96.92817424073218 44.76129889287173),GREAT PLAINS,likely stable croplands,-999.0
18851,"[-96.35549824710597, 46.65934925668786]",1996,0,0,0,-999.0,ag,510,sean,1,5.0,POINT (-96.35549824710597 46.65934925668786),GREAT PLAINS,possible errors,-999.0
11835,"[-94.26772369528379, 30.02695193968651]",1996,1,0,1,-999.0,na,310,sean,0,3.0,POINT (-94.26772369528379 30.02695193968651),GREAT PLAINS,cropland loss,-999.0
5079,"[-99.3875818255946, 34.73205790331933]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-99.3875818255946 34.73205790331933),GREAT PLAINS,likely stable croplands,-999.0
15641,"[-100.39252713393911, 44.249528675508834]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-100.39252713393911 44.249528675508834),GREAT PLAINS,likely non-cropland,-999.0
18707,"[-109.58956884428318, 47.05820124283693]",1996,0,0,1,-999.0,ag,510,sean,1,5.0,POINT (-109.58956884428318 47.05820124283693),GREAT PLAINS,possible errors,-999.0
5053,"[-93.411000408819, 39.13964184485176]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-93.411000408819 39.13964184485176),GREAT PLAINS,likely stable croplands,-999.0
18789,"[-97.81777586659574, 47.98661008897446]",1996,0,0,0,-999.0,ag,510,sean,1,5.0,POINT (-97.81777586659574 47.98661008897446),GREAT PLAINS,possible errors,-999.0
18750,"[-103.31950782418575, 34.522391116005835]",1996,0,0,0,-999.0,ag,510,sean,1,5.0,POINT (-103.31950782418575 34.522391116005835),GREAT PLAINS,possible errors,-999.0
15635,"[-102.77809320244691, 46.038164237719215]",1996,0,0,0,-999.0,ag,410,sean,1,4.0000000001,POINT (-102.77809320244691 46.038164237719215),GREAT PLAINS,likely non-cropland,-999.0
8471,"[-91.71048957598076, 42.147470910669156]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-91.71048957598076 42.147470910669156),GREAT PLAINS,cropland gain,-999.0
11853,"[-97.94928922419084, 24.828670885072075]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-97.94928922419084 24.828670885072075),GREAT PLAINS,cropland loss,-999.0
11810,"[-97.51405546903493, 26.17991673544466]",1996,0,0,0,-999.0,ag,310,sean,1,3.0,POINT (-97.51405546903493 26.17991673544466),GREAT PLAINS,cropland loss,-999.0
11855,"[-96.4654520378822, 39.22480213378629]",1996,0,0,1,-999.0,na,310,sean,0,3.0,POINT (-96.4654520378822 39.22480213378629),GREAT PLAINS,cropland loss,-999.0
18689,"[-99.84194969630225, 43.74207037150972]",1996,1,0,1,-999.0,ag,510,sean,1,5.0,POINT (-99.84194969630225 43.74207037150972),GREAT PLAINS,possible errors,-999.0
4994,"[-106.3510524135039, 49.92050323262696]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-106.3510524135039 49.92050323262696),GREAT PLAINS,likely stable croplands,-999.0
18821,"[-102.43367912251549, 50.047165687687816]",1996,0,0,0,-999.0,ag,510,sean,1,5.0,POINT (-102.43367912251549 50.047165687687816),GREAT PLAINS,possible errors,-999.0
11992,"[-98.51792279903849, 25.659792185939455]",1996,1,0,1,-999.0,na,310,sean,0,3.0,POINT (-98.51792279903849 25.659792185939455),GREAT PLAINS,cropland loss,-999.0
15615,"[-99.38677334183889, 24.680448863192353]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-99.38677334183889 24.680448863192353),GREAT PLAINS,likely non-cropland,-999.0
15652,"[-101.85938616137787, 34.695676134312485]",1996,0,0,0,-999.0,ag,410,sean,1,4.0000000001,POINT (-101.85938616137787 34.695676134312485),GREAT PLAINS,likely non-cropland,-999.0
15454,"[-97.28282911490255, 45.72662849718657]",1996,0,0,0,-999.0,ag,410,sean,1,4.0000000001,POINT (-97.28282911490255 45.72662849718657),GREAT PLAINS,likely non-cropland,-999.0
4870,"[-107.15333779375104, 49.49146785293148]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-107.15333779375104 49.49146785293148),GREAT PLAINS,likely stable croplands,-999.0
12056,"[-96.31264860805348, 29.455623418986494]",1996,0,0,0,-999.0,na,310,sean,0,3.0,POINT (-96.31264860805348 29.455623418986494),GREAT PLAINS,cropland loss,-999.0
18758,"[-101.75643922981777, 39.873475600449]",1996,1,0,1,-999.0,na,510,sean,0,5.0,POINT (-101.75643922981777 39.873475600449),GREAT PLAINS,possible errors,-999.0
